File hm/lorem1s (another copy).txt
R: 10 - C: 843
R: 10 - C: 851
R: 10 - C: 872
R: 10 - C: 876
R: 12 - C: 1
R: 12 - C: 14
R: 12 - C: 33
R: 12 - C: 38
R: 12 - C: 55
R: 12 - C: 89
R: 12 - C: 123
R: 12 - C: 135
R: 12 - C: 141
R: 12 - C: 151
R: 12 - C: 155
R: 12 - C: 162
R: 12 - C: 174
R: 12 - C: 179
R: 12 - C: 183
R: 12 - C: 210
R: 12 - C: 217
R: 12 - C: 220
R: 12 - C: 246
R: 12 - C: 250
R: 12 - C: 257
R: 12 - C: 266
R: 12 - C: 281
R: 12 - C: 292
R: 12 - C: 305
R: 12 - C: 352
R: 12 - C: 365
R: 14 - C: 58
R: 14 - C: 82
R: 14 - C: 95
R: 14 - C: 102
R: 14 - C: 117
R: 14 - C: 132
R: 14 - C: 145
R: 14 - C: 149
R: 14 - C: 175
R: 14 - C: 185
R: 14 - C: 224
R: 14 - C: 229
R: 14 - C: 233
R: 14 - C: 237
R: 14 - C: 272
R: 14 - C: 279
R: 14 - C: 310
R: 14 - C: 320
R: 14 - C: 342
R: 14 - C: 353
R: 14 - C: 366
R: 14 - C: 410
R: 14 - C: 414
R: 14 - C: 443
R: 16 - C: 13
R: 16 - C: 40
R: 16 - C: 53
R: 16 - C: 62
R: 16 - C: 95
R: 16 - C: 104
R: 16 - C: 123
R: 16 - C: 128
R: 16 - C: 133
R: 16 - C: 142
R: 16 - C: 146
R: 16 - C: 162
R: 16 - C: 166
R: 16 - C: 171
R: 16 - C: 177
R: 16 - C: 183
R: 16 - C: 189
R: 16 - C: 192
R: 16 - C: 225
R: 16 - C: 228
R: 16 - C: 241
R: 16 - C: 253
R: 16 - C: 260
R: 16 - C: 281
R: 16 - C: 286
R: 16 - C: 289
R: 16 - C: 293
R: 16 - C: 302
R: 16 - C: 352
R: 16 - C: 358
R: 16 - C: 373
R: 16 - C: 401
R: 16 - C: 405
R: 16 - C: 415
R: 16 - C: 419
R: 16 - C: 426
R: 16 - C: 472
R: 16 - C: 474
R: 16 - C: 513
R: 16 - C: 531
R: 16 - C: 542
R: 16 - C: 548
R: 18 - C: 7
R: 18 - C: 38
R: 18 - C: 66
R: 18 - C: 70
R: 18 - C: 93
R: 18 - C: 108
R: 18 - C: 137
R: 18 - C: 167
R: 18 - C: 190
R: 18 - C: 198
R: 18 - C: 214
R: 18 - C: 228
R: 18 - C: 233
R: 18 - C: 238
R: 18 - C: 246
R: 18 - C: 250
R: 18 - C: 276
R: 18 - C: 325
R: 18 - C: 330
R: 18 - C: 333
R: 18 - C: 339
R: 18 - C: 348
R: 18 - C: 362
R: 18 - C: 394
R: 18 - C: 423
R: 18 - C: 448
R: 18 - C: 453
R: 18 - C: 486
R: 18 - C: 499
R: 18 - C: 502
R: 18 - C: 523
